,proximity,start_pos_x,start_pos_y,seed,total_cost,mean_travel_time,vulnerability,is_connected
0,1,444,601,6,2044.4511274960632,1870.143480021408,2104.872748914312,False
1,2,444,601,6,4608.422105782743,2311.322167730944,4749.621200122481,False
2,3,444,601,6,6854.300255762753,437.6398571494231,265.4444421216962,True
3,4,444,601,6,9111.36860232508,408.8549683412881,181.87570405164132,True
4,5,444,601,6,11848.96163077245,396.15504237115624,153.55955456888717,True
5,1,299,567,26,2020.9571489598616,1869.2326635653185,2087.235867977993,False
6,2,299,567,26,4461.271252032013,3142.2865644934054,4525.245724105419,False
7,3,299,567,26,6928.722390646693,446.67420873618767,417.3189136831333,True
8,4,299,567,26,9007.951542403485,418.86489037485717,332.59663193358483,True
9,5,299,567,26,12017.272851664564,403.8707446691381,302.0824974402652,True
10,1,306,235,18,1999.5175882552,1849.3447123704302,2065.70305242297,False
11,2,306,235,18,4507.594813618266,3172.728553106712,4570.441883844718,False
12,3,306,235,18,6968.06751795805,447.18897550197534,334.4364731217349,True
13,4,306,235,18,9517.22288264024,411.9935699510471,246.20322476184992,True
14,5,306,235,18,12996.805184413979,395.34508229894476,198.0103429330525,True
15,1,403,403,16,2032.1794418488332,1858.9216882001813,2096.3143798476262,False
16,2,403,403,16,4439.611041586443,2198.309903665818,4558.463616935943,False
17,3,403,403,16,6946.888355408882,452.2262660420893,580.9540007993121,True
18,4,403,403,16,9506.31299688637,404.8918836683463,422.96831604088464,True
19,5,403,403,16,12934.238661187628,392.93730814253433,348.50214671011355,True
20,1,451,350,10,2070.015751373753,1893.455558370571,2133.005375673401,False
21,2,451,350,10,4513.691940804277,2229.0038299192693,4646.352409873996,False
22,3,451,350,10,6604.170065147046,455.96732595117476,471.15456449705397,True
23,4,451,350,10,9169.198759332814,409.2380670752927,260.7480287443587,True
24,5,451,350,10,12677.57087335327,393.3890471157527,223.96433545159172,True
25,1,699,733,21,2048.680260236063,1874.0050159017014,2113.328415145433,False
26,2,699,733,21,4495.613609577959,2223.5293839015935,4627.577267770363,False
27,3,699,733,21,6584.887325446494,453.8306656332182,595.383759767803,True
28,4,699,733,21,9096.850826000456,409.9299143305371,405.01658570563745,True
29,5,699,733,21,12209.14827271789,395.844617273531,349.31054239788693,True
30,1,469,393,9,2089.6516136576356,1911.2520309647355,2146.3274619582858,False
31,2,469,393,9,4190.914434445381,2366.5688140558177,4296.662258645065,False
32,3,469,393,9,6342.372254056152,1100.8721343386605,6379.531144539092,False
33,4,469,393,9,8809.696989045495,1342.7278654996885,8829.299001919857,False
34,5,469,393,9,11213.83081003243,1607.1610089134892,11229.663235816955,False
35,1,593,626,19,2028.2116241484534,1855.3361438279157,2092.23080493633,False
36,2,593,626,19,4220.342357678454,2382.526482534522,4324.2843196531985,False
37,3,593,626,19,6273.6487254622225,1089.3155255042848,6293.99888188097,False
38,4,593,626,19,8503.143841494333,1306.874251864959,8517.049593708698,False
39,5,593,626,19,11453.870675675978,1631.672285743845,11464.90852053425,False
40,1,554,145,1,2063.4483423387715,1887.6422112139878,2119.272318576484,False
41,2,554,145,1,4460.449312732917,599.6157267425207,1494.3068709621775,True
42,3,554,145,1,6518.087761402611,456.2612466010431,534.7827257915848,True
43,4,554,145,1,8952.464718836985,412.5933938204972,323.15968243170045,True
